trial,best_gene,best_fitness,avg_fitness,times
1,"[42, 56, 22, 43, 26, 21, 37, 54, 3, 49, 19, 12, 8, 0, 31, 39, 24, 29, 52, 17, 57, 51, 34, 15, 4, 41, 30, 6, 7, 10, 2, 38, 20, 27, 18, 33, 13, 36, 44, 16, 47, 1, 9, 40, 53, 23, 11, 46, 28, 32, 55, 25, 5, 35, 45, 14, 48, 50]",1.8598768761507988e-05,1.8598768761507988e-05,0.5099995136260986
2,"[53, 25, 35, 32, 36, 13, 45, 55, 33, 14, 16, 34, 2, 47, 48, 4, 1, 9, 10, 27, 20, 15, 6, 37, 30, 41, 28, 44, 51, 46, 50, 54, 22, 42, 5, 11, 23, 43, 8, 12, 17, 56, 57, 39, 0, 49, 3, 52, 24, 19, 31, 29, 7, 21, 18, 26, 38, 40]",1.9848752505905004e-05,1.9658746141154406e-05,0.5580005645751953
3,"[48, 46, 26, 42, 4, 57, 51, 28, 44, 25, 5, 55, 45, 32, 13, 2, 27, 20, 35, 9, 7, 37, 41, 30, 6, 54, 34, 53, 40, 47, 38, 15, 1, 22, 23, 24, 8, 43, 0, 17, 11, 56, 29, 31, 19, 49, 3, 52, 12, 39, 21, 10, 18, 16, 33, 14, 36, 50]",2.1005755577028105e-05,2.0848822048072745e-05,0.5074672698974609
4,"[53, 28, 38, 30, 6, 41, 37, 15, 10, 35, 13, 32, 44, 45, 33, 36, 16, 9, 50, 46, 27, 5, 25, 48, 57, 23, 43, 39, 8, 17, 0, 31, 24, 29, 12, 56, 11, 4, 14, 42, 51, 34, 40, 2, 18, 55, 20, 47, 1, 54, 7, 26, 22, 49, 19, 52, 3, 21]",2.2832092789625095e-05,2.2629340501583126e-05,0.5070035457611084
5,"[36, 27, 13, 44, 16, 51, 1, 21, 40, 6, 30, 41, 37, 10, 7, 4, 54, 53, 28, 48, 0, 57, 3, 22, 56, 52, 49, 19, 8, 24, 31, 39, 17, 43, 11, 26, 23, 29, 12, 42, 47, 15, 38, 20, 5, 33, 45, 18, 25, 35, 46, 2, 34, 9, 50, 55, 14, 32]",2.013733663585654e-05,1.977155340601441e-05,0.499997615814209
6,"[4, 57, 0, 29, 8, 12, 22, 23, 43, 17, 39, 31, 52, 30, 41, 7, 3, 49, 19, 24, 56, 26, 33, 36, 45, 55, 44, 14, 20, 10, 37, 6, 15, 21, 38, 46, 27, 5, 18, 51, 34, 28, 35, 2, 1, 40, 47, 53, 25, 13, 32, 16, 50, 9, 54, 42, 48, 11]",2.001481096011048e-05,1.9992174498713867e-05,0.5049736499786377
7,"[47, 2, 28, 40, 50, 4, 15, 30, 41, 6, 37, 3, 49, 57, 0, 29, 39, 8, 53, 54, 17, 43, 52, 19, 31, 24, 12, 11, 48, 42, 26, 46, 27, 56, 23, 44, 14, 35, 20, 55, 51, 34, 9, 25, 18, 16, 5, 13, 45, 33, 36, 32, 1, 38, 22, 7, 21, 10]",1.9330395113276115e-05,1.911221994471111e-05,0.5110287666320801
8,"[5, 27, 9, 11, 56, 48, 35, 16, 55, 45, 32, 36, 13, 44, 14, 33, 18, 50, 25, 57, 23, 0, 4, 47, 51, 53, 54, 40, 42, 46, 26, 22, 34, 38, 2, 43, 29, 12, 24, 31, 39, 8, 17, 19, 49, 52, 3, 7, 21, 1, 41, 37, 6, 30, 10, 15, 20, 28]",2.3221791328983118e-05,2.27928181573027e-05,0.5229671001434326
9,"[27, 18, 46, 9, 4, 22, 42, 57, 23, 17, 56, 29, 0, 39, 31, 3, 19, 24, 12, 43, 8, 49, 52, 7, 15, 54, 38, 2, 47, 35, 53, 21, 6, 37, 41, 30, 28, 5, 16, 51, 50, 10, 40, 1, 36, 25, 13, 32, 44, 55, 33, 45, 14, 20, 34, 26, 11, 48]",2.060411258087114e-05,1.8962499759562437e-05,0.530998945236206
10,"[37, 30, 41, 6, 7, 3, 43, 57, 56, 22, 38, 28, 35, 16, 34, 48, 51, 20, 10, 55, 44, 45, 36, 13, 14, 32, 11, 17, 52, 39, 24, 31, 29, 0, 23, 46, 42, 4, 21, 49, 19, 8, 12, 53, 50, 9, 2, 54, 1, 25, 18, 33, 27, 5, 26, 40, 47, 15]",1.940391182862465e-05,1.940391182862465e-05,0.5200309753417969
