gens,best_fitness,avg_fitness,best_gene
1,0.00018552875695732838,0.00015005986340797478,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
2,0.00018552875695732838,0.00015092804519222254,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
3,0.00018552875695732838,0.00015158412748264783,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
4,0.00018552875695732838,0.00015242715084757316,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
5,0.00018552875695732838,0.00015336964425297458,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
6,0.00018552875695732838,0.00015415910449567474,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
7,0.00018552875695732838,0.00015494378142705135,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
8,0.00018552875695732838,0.00015557421427672685,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
9,0.00018552875695732838,0.00015621777905214294,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
10,0.00018552875695732838,0.00015717714065914594,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
11,0.00018552875695732838,0.00015805552676012807,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
12,0.00018552875695732838,0.000158598804833825,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
13,0.00018552875695732838,0.000159265127339279,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
14,0.00018552875695732838,0.00016017290137593248,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
15,0.00018552875695732838,0.00016069209063110674,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
16,0.00018552875695732838,0.00016161226745037415,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
17,0.00018552875695732838,0.00016229758199566715,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
18,0.00018552875695732838,0.00016272799486504843,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
19,0.00018552875695732838,0.00016347849723705838,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
20,0.00018552875695732838,0.00016366014816118494,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
21,0.00018552875695732838,0.00016402654799795548,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
22,0.00018552875695732838,0.00016471696687716815,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
23,0.00018552875695732838,0.0001654588694855053,"[6, 3, 2, 10, 1, 8, 0, 7, 13, 9, 4, 11, 5, 12]"
24,0.00020153164046755341,0.00016611961468108544,"[1, 10, 12, 9, 8, 0, 3, 4, 6, 13, 2, 5, 11, 7]"
25,0.00020153164046755341,0.00016679005971726365,"[1, 10, 12, 9, 8, 0, 3, 4, 6, 13, 2, 5, 11, 7]"
26,0.00020153164046755341,0.0001670980265243786,"[1, 10, 12, 9, 8, 0, 3, 4, 6, 13, 2, 5, 11, 7]"
