trial,best_gene,best_fitness,avg_fitness,avg_bestFitness,times
1,"[0, 7, 10, 9, 8, 1, 2, 13, 3, 11, 4, 5, 6, 12]",0.0002658160552897395,0.0002658160552897396,0.0,0.13204336166381836
2,"[1, 7, 9, 8, 10, 0, 12, 6, 11, 5, 4, 3, 2, 13]",0.00028620492272467084,0.00028620492272467084,0.00028620492272467084,0.16095590591430664
3,"[5, 4, 12, 6, 13, 7, 8, 10, 9, 0, 1, 2, 3, 11]",0.00026490066225165563,0.0002649006622516556,0.00026490066225165563,0.11704564094543457
4,"[11, 0, 4, 3, 2, 1, 5, 7, 9, 8, 10, 12, 13, 6]",0.0002836074872376631,0.000283607487237663,0.0002836074872376631,0.11195182800292969
5,"[0, 7, 10, 8, 9, 1, 13, 2, 11, 5, 4, 3, 6, 12]",0.00027005130974885227,0.00027005130974885227,0.00027005130974885227,0.12201499938964844
