trial,best_gene,best_fitness,avg_fitness,times
1,"[2, 3, 4, 9, 11, 6, 12, 0, 7, 10, 8, 5, 1, 13]",0.0002927400468384075,0.0002901903466785243,0.1339879035949707
2,"[5, 11, 0, 7, 12, 6, 10, 8, 9, 1, 13, 2, 3, 4]",0.00024648755237860487,0.0002362942873532364,0.16099953651428223
3,"[7, 9, 8, 10, 6, 12, 2, 3, 11, 5, 4, 13, 1, 0]",0.00025348542458808617,0.00025348542458808617,0.11400055885314941
4,"[2, 13, 10, 12, 1, 7, 0, 9, 8, 6, 11, 5, 4, 3]",0.00024003840614498319,0.0002400384061449832,0.1139974594116211
5,"[12, 7, 0, 10, 3, 4, 11, 5, 13, 1, 9, 8, 2, 6]",0.00024715768660405336,0.0002471576866040534,0.11101651191711426
